"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","AG","HMC","5","10","3","z[2]","ess","21.705152137961804"
"GMM","AG","HMC","5","10","3","z[2]","r_hat","1.029337661334895"
"GMM","AG","HMC","5","10","3","z[3]","ess","21.619776263942068"
"GMM","AG","HMC","5","10","3","z[3]","r_hat","1.0298343581504414"
"GMM","AG","HMC","5","10","3","z[4]","ess","22.22922517285786"
"GMM","AG","HMC","5","10","3","z[4]","r_hat","1.0257677584093319"
"GMM","AG","HMC","5","10","3","z[5]","ess","30.53694330361528"
"GMM","AG","HMC","5","10","3","z[5]","r_hat","1.0160649379414797"
"GMM","AG","HMC","5","10","3","z[6]","ess","21.845607195658573"
"GMM","AG","HMC","5","10","3","z[6]","r_hat","1.0289797909469225"
"GMM","AG","HMC","5","10","3","z[7]","ess","21.58649622751206"
"GMM","AG","HMC","5","10","3","z[7]","r_hat","1.028602334236318"
"GMM","AG","HMC","5","10","3","z[8]","ess","21.857986999954697"
"GMM","AG","HMC","5","10","3","z[8]","r_hat","1.0286727931001916"
"GMM","AG","HMC","5","10","3","z[9]","ess","21.581920152729346"
"GMM","AG","HMC","5","10","3","z[9]","r_hat","1.0286975237724327"
"GMM","AG","HMC","5","10","3","z[10]","ess","21.729437089273667"
"GMM","AG","HMC","5","10","3","z[10]","r_hat","1.0270257277223667"
"GMM","AG","HMC","5","10","3","μ[1]","ess","50.98549554614989"
"GMM","AG","HMC","5","10","3","μ[1]","r_hat","0.999971720193361"
"GMM","AG","HMC","5","10","3","μ[2]","ess","27.957657084570872"
"GMM","AG","HMC","5","10","3","μ[2]","r_hat","1.0721019985794702"
"GMM","PG","HMC","5","10","4","w[1]","ess","54.89050070221329"
"GMM","PG","HMC","5","10","4","w[1]","r_hat","1.000130209686301"
"GMM","PG","HMC","5","10","4","w[2]","ess","54.89050070221329"
"GMM","PG","HMC","5","10","4","w[2]","r_hat","1.000130209686301"
"GMM","PG","HMC","5","10","4","z[1]","ess","62.85442823043095"
"GMM","PG","HMC","5","10","4","z[1]","r_hat","0.999853186754108"
"GMM","PG","HMC","5","10","4","z[2]","ess","60.94912419782941"
"GMM","PG","HMC","5","10","4","z[2]","r_hat","0.9999686057680274"
"GMM","PG","HMC","5","10","4","z[3]","ess","59.92293264325154"
"GMM","PG","HMC","5","10","4","z[3]","r_hat","0.9998595503374522"
"GMM","PG","HMC","5","10","4","z[4]","ess","62.22586957489991"
"GMM","PG","HMC","5","10","4","z[4]","r_hat","0.9998947500125627"
"GMM","PG","HMC","5","10","4","z[5]","ess","66.95373581716608"
"GMM","PG","HMC","5","10","4","z[5]","r_hat","0.9998198216618763"
"GMM","PG","HMC","5","10","4","z[6]","ess","61.371893789338685"
"GMM","PG","HMC","5","10","4","z[6]","r_hat","1.0000633245208166"
"GMM","PG","HMC","5","10","4","z[7]","ess","61.776018381419206"
"GMM","PG","HMC","5","10","4","z[7]","r_hat","0.9998059229499409"
"GMM","PG","HMC","5","10","4","z[8]","ess","61.704291839624155"
"GMM","PG","HMC","5","10","4","z[8]","r_hat","0.9999199742746404"
"GMM","PG","HMC","5","10","4","z[9]","ess","61.948341316756384"
"GMM","PG","HMC","5","10","4","z[9]","r_hat","0.9998026074237648"
"GMM","PG","HMC","5","10","4","z[10]","ess","59.20978092941568"
"GMM","PG","HMC","5","10","4","z[10]","r_hat","0.9998006390032367"
"GMM","PG","HMC","5","10","4","μ[1]","ess","34.96542003240873"
"GMM","PG","HMC","5","10","4","μ[1]","r_hat","1.0165504281044644"
"GMM","PG","HMC","5","10","4","μ[2]","ess","71.56682924019701"
"GMM","PG","HMC","5","10","4","μ[2]","r_hat","1.0189731535638495"
"GMM","PG","HMC","5","10","7","w[1]","ess","37.170776633935695"
"GMM","PG","HMC","5","10","7","w[1]","r_hat","1.0138797425704944"
"GMM","PG","HMC","5","10","7","w[2]","ess","37.170776633935695"
"GMM","PG","HMC","5","10","7","w[2]","r_hat","1.0138797425704944"
"GMM","PG","HMC","5","10","7","z[1]","ess","43.15891623693335"
"GMM","PG","HMC","5","10","7","z[1]","r_hat","1.0119080742948858"
"GMM","PG","HMC","5","10","7","z[2]","ess","41.32514493344488"
"GMM","PG","HMC","5","10","7","z[2]","r_hat","1.0108691765217777"
"GMM","PG","HMC","5","10","7","z[3]","ess","42.67431226307427"
"GMM","PG","HMC","5","10","7","z[3]","r_hat","1.0106981830005548"
"GMM","PG","HMC","5","10","7","z[4]","ess","42.512883552433145"
"GMM","PG","HMC","5","10","7","z[4]","r_hat","1.0129197464097937"
"GMM","PG","HMC","5","10","7","z[5]","ess","44.62898717678857"
"GMM","PG","HMC","5","10","7","z[5]","r_hat","1.0120933025832004"
"GMM","PG","HMC","5","10","7","z[6]","ess","41.13232606009013"
"GMM","PG","HMC","5","10","7","z[6]","r_hat","1.0117577058205491"
"GMM","PG","HMC","5","10","7","z[7]","ess","41.782617555002275"
"GMM","PG","HMC","5","10","7","z[7]","r_hat","1.0107954253538465"
"GMM","PG","HMC","5","10","7","z[8]","ess","41.26258684950662"
"GMM","PG","HMC","5","10","7","z[8]","r_hat","1.0122808573938125"
"GMM","PG","HMC","5","10","7","z[9]","ess","41.73810730214846"
"GMM","PG","HMC","5","10","7","z[9]","r_hat","1.0109604209109482"
"GMM","PG","HMC","5","10","7","z[10]","ess","41.305317186734285"
"GMM","PG","HMC","5","10","7","z[10]","r_hat","1.009468463569814"
"GMM","PG","HMC","5","10","7","μ[1]","ess","46.02581427819336"
"GMM","PG","HMC","5","10","7","μ[1]","r_hat","1.0190641658258774"
"GMM","PG","HMC","5","10","7","μ[2]","ess","37.20200919475714"
"GMM","PG","HMC","5","10","7","μ[2]","r_hat","1.0673546918718708"
"GMM","PG","HMC","5","10","1","w[1]","ess","26.675359804701515"
"GMM","PG","HMC","5","10","1","w[1]","r_hat","1.0041469297069863"
"GMM","PG","HMC","5","10","1","w[2]","ess","26.675359804701557"
"GMM","PG","HMC","5","10","1","w[2]","r_hat","1.0041469297069863"
"GMM","PG","HMC","5","10","1","z[1]","ess","29.982327816083057"
"GMM","PG","HMC","5","10","1","z[1]","r_hat","1.004180201690778"
"GMM","PG","HMC","5","10","1","z[2]","ess","29.615636314856978"
"GMM","PG","HMC","5","10","1","z[2]","r_hat","1.0049545547789567"
"GMM","PG","HMC","5","10","1","z[3]","ess","29.312480979803297"
"GMM","PG","HMC","5","10","1","z[3]","r_hat","1.0049655717230344"
"GMM","PG","HMC","5","10","1","z[4]","ess","30.340048034505475"
"GMM","PG","HMC","5","10","1","z[4]","r_hat","1.0032500952510564"
"GMM","PG","HMC","5","10","1","z[5]","ess","29.97313603545531"
"GMM","PG","HMC","5","10","1","z[5]","r_hat","1.0028033424791485"
"GMM","PG","HMC","5","10","1","z[6]","ess","29.715445414504313"
"GMM","PG","HMC","5","10","1","z[6]","r_hat","1.0040719752718614"
"GMM","PG","HMC","5","10","1","z[7]","ess","30.3671873218224"
"GMM","PG","HMC","5","10","1","z[7]","r_hat","1.0044556050951359"
"GMM","PG","HMC","5","10","1","z[8]","ess","29.52755055718873"
"GMM","PG","HMC","5","10","1","z[8]","r_hat","1.0035478205325283"
"GMM","PG","HMC","5","10","1","z[9]","ess","29.663819131332392"
