model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,3,z[2],5,2.0
GMM,PG,MH,5,10,3,z[3],5,2.0
GMM,PG,MH,5,10,3,z[4],5,1.0
GMM,PG,MH,5,10,3,z[5],5,1.0
GMM,PG,MH,5,10,3,z[6],5,1.0
GMM,PG,MH,5,10,3,z[7],5,1.0
GMM,PG,MH,5,10,3,z[8],5,1.0
GMM,PG,MH,5,10,3,z[9],5,1.0
GMM,PG,MH,5,10,3,z[10],5,1.0
GMM,PG,MH,5,10,3,μ[1],5,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],5,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],6,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],6,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],6,1.0
GMM,PG,MH,5,10,3,z[2],6,1.0
GMM,PG,MH,5,10,3,z[3],6,1.0
GMM,PG,MH,5,10,3,z[4],6,1.0
GMM,PG,MH,5,10,3,z[5],6,2.0
GMM,PG,MH,5,10,3,z[6],6,1.0
GMM,PG,MH,5,10,3,z[7],6,2.0
GMM,PG,MH,5,10,3,z[8],6,1.0
GMM,PG,MH,5,10,3,z[9],6,1.0
GMM,PG,MH,5,10,3,z[10],6,1.0
GMM,PG,MH,5,10,3,μ[1],6,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],6,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],7,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],7,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],7,1.0
GMM,PG,MH,5,10,3,z[2],7,1.0
GMM,PG,MH,5,10,3,z[3],7,1.0
GMM,PG,MH,5,10,3,z[4],7,1.0
GMM,PG,MH,5,10,3,z[5],7,1.0
GMM,PG,MH,5,10,3,z[6],7,1.0
GMM,PG,MH,5,10,3,z[7],7,1.0
GMM,PG,MH,5,10,3,z[8],7,1.0
GMM,PG,MH,5,10,3,z[9],7,1.0
GMM,PG,MH,5,10,3,z[10],7,1.0
GMM,PG,MH,5,10,3,μ[1],7,-3.1854320718090943
GMM,PG,MH,5,10,3,μ[2],7,-4.752065541037658
GMM,PG,MH,5,10,3,w[1],8,0.7942531134912133
GMM,PG,MH,5,10,3,w[2],8,0.20574688650878667
GMM,PG,MH,5,10,3,z[1],8,1.0
GMM,PG,MH,5,10,3,z[2],8,2.0
GMM,PG,MH,5,10,3,z[3],8,1.0
GMM,PG,MH,5,10,3,z[4],8,1.0
GMM,PG,MH,5,10,3,z[5],8,1.0
GMM,PG,MH,5,10,3,z[6],8,1.0
GMM,PG,MH,5,10,3,z[7],8,2.0
GMM,PG,MH,5,10,3,z[8],8,1.0
GMM,PG,MH,5,10,3,z[9],8,1.0
GMM,PG,MH,5,10,3,z[10],8,1.0
GMM,PG,MH,5,10,3,μ[1],8,-3.7407947413518814
GMM,PG,MH,5,10,3,μ[2],8,-5.8635623019157705
GMM,PG,MH,5,10,3,w[1],9,0.7942531134912133
GMM,PG,MH,5,10,3,w[2],9,0.20574688650878667
GMM,PG,MH,5,10,3,z[1],9,1.0
GMM,PG,MH,5,10,3,z[2],9,1.0
GMM,PG,MH,5,10,3,z[3],9,2.0
GMM,PG,MH,5,10,3,z[4],9,1.0
GMM,PG,MH,5,10,3,z[5],9,1.0
GMM,PG,MH,5,10,3,z[6],9,2.0
GMM,PG,MH,5,10,3,z[7],9,2.0
GMM,PG,MH,5,10,3,z[8],9,2.0
GMM,PG,MH,5,10,3,z[9],9,2.0
GMM,PG,MH,5,10,3,z[10],9,1.0
GMM,PG,MH,5,10,3,μ[1],9,-3.7407947413518814
GMM,PG,MH,5,10,3,μ[2],9,-5.8635623019157705
GMM,PG,MH,5,10,3,w[1],10,0.7942531134912133
GMM,PG,MH,5,10,3,w[2],10,0.20574688650878667
GMM,PG,MH,5,10,3,z[1],10,1.0
GMM,PG,MH,5,10,3,z[2],10,1.0
GMM,PG,MH,5,10,3,z[3],10,2.0
GMM,PG,MH,5,10,3,z[4],10,1.0
GMM,PG,MH,5,10,3,z[5],10,1.0
GMM,PG,MH,5,10,3,z[6],10,1.0
GMM,PG,MH,5,10,3,z[7],10,2.0
GMM,PG,MH,5,10,3,z[8],10,2.0
GMM,PG,MH,5,10,3,z[9],10,2.0
GMM,PG,MH,5,10,3,z[10],10,2.0
GMM,PG,MH,5,10,3,μ[1],10,-3.7407947413518814
GMM,PG,MH,5,10,3,μ[2],10,-5.8635623019157705
GMM,PG,MH,5,10,4,w[1],1,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],1,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],1,1.0
GMM,PG,MH,5,10,4,z[2],1,1.0
GMM,PG,MH,5,10,4,z[3],1,1.0
GMM,PG,MH,5,10,4,z[4],1,1.0
GMM,PG,MH,5,10,4,z[5],1,1.0
GMM,PG,MH,5,10,4,z[6],1,1.0
GMM,PG,MH,5,10,4,z[7],1,1.0
GMM,PG,MH,5,10,4,z[8],1,1.0
GMM,PG,MH,5,10,4,z[9],1,1.0
GMM,PG,MH,5,10,4,z[10],1,1.0
GMM,PG,MH,5,10,4,μ[1],1,-7.723190265425318
GMM,PG,MH,5,10,4,μ[2],1,-7.297992501109377
GMM,PG,MH,5,10,4,w[1],2,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],2,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],2,1.0
GMM,PG,MH,5,10,4,z[2],2,1.0
GMM,PG,MH,5,10,4,z[3],2,1.0
GMM,PG,MH,5,10,4,z[4],2,1.0
GMM,PG,MH,5,10,4,z[5],2,1.0
GMM,PG,MH,5,10,4,z[6],2,1.0
GMM,PG,MH,5,10,4,z[7],2,1.0
GMM,PG,MH,5,10,4,z[8],2,1.0
GMM,PG,MH,5,10,4,z[9],2,1.0
GMM,PG,MH,5,10,4,z[10],2,1.0
GMM,PG,MH,5,10,4,μ[1],2,-7.723190265425318
GMM,PG,MH,5,10,4,μ[2],2,-7.297992501109377
GMM,PG,MH,5,10,4,w[1],3,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],3,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],3,1.0
GMM,PG,MH,5,10,4,z[2],3,1.0
GMM,PG,MH,5,10,4,z[3],3,1.0
GMM,PG,MH,5,10,4,z[4],3,1.0
GMM,PG,MH,5,10,4,z[5],3,1.0
GMM,PG,MH,5,10,4,z[6],3,1.0
GMM,PG,MH,5,10,4,z[7],3,1.0
GMM,PG,MH,5,10,4,z[8],3,1.0
GMM,PG,MH,5,10,4,z[9],3,1.0
GMM,PG,MH,5,10,4,z[10],3,1.0
GMM,PG,MH,5,10,4,μ[1],3,-7.723190265425318
GMM,PG,MH,5,10,4,μ[2],3,-7.297992501109377
GMM,PG,MH,5,10,4,w[1],4,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],4,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],4,1.0
GMM,PG,MH,5,10,4,z[2],4,1.0
GMM,PG,MH,5,10,4,z[3],4,1.0
GMM,PG,MH,5,10,4,z[4],4,1.0
GMM,PG,MH,5,10,4,z[5],4,1.0
GMM,PG,MH,5,10,4,z[6],4,1.0
GMM,PG,MH,5,10,4,z[7],4,1.0
GMM,PG,MH,5,10,4,z[8],4,1.0
GMM,PG,MH,5,10,4,z[9],4,1.0
GMM,PG,MH,5,10,4,z[10],4,1.0
GMM,PG,MH,5,10,4,μ[1],4,-7.723190265425318
GMM,PG,MH,5,10,4,μ[2],4,-7.297992501109377
GMM,PG,MH,5,10,4,w[1],5,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],5,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],5,1.0
GMM,PG,MH,5,10,4,z[2],5,1.0
GMM,PG,MH,5,10,4,z[3],5,1.0
GMM,PG,MH,5,10,4,z[4],5,1.0
GMM,PG,MH,5,10,4,z[5],5,1.0
GMM,PG,MH,5,10,4,z[6],5,1.0
GMM,PG,MH,5,10,4,z[7],5,1.0
GMM,PG,MH,5,10,4,z[8],5,1.0
GMM,PG,MH,5,10,4,z[9],5,1.0
GMM,PG,MH,5,10,4,z[10],5,1.0
GMM,PG,MH,5,10,4,μ[1],5,-7.723190265425318
GMM,PG,MH,5,10,4,μ[2],5,-7.297992501109377
GMM,PG,MH,5,10,4,w[1],6,0.9988499160602673
GMM,PG,MH,5,10,4,w[2],6,0.0011500839397327557
GMM,PG,MH,5,10,4,z[1],6,1.0
GMM,PG,MH,5,10,4,z[2],6,1.0
GMM,PG,MH,5,10,4,z[3],6,1.0
GMM,PG,MH,5,10,4,z[4],6,1.0
GMM,PG,MH,5,10,4,z[5],6,1.0
GMM,PG,MH,5,10,4,z[6],6,1.0
